pais;fecha;confirmados;muertes;indice
Afghanistan;1/04/20;1952.0;60.0;80.74
Afghanistan;1/05/20;13081.0;194.0;84.26
Afghanistan;1/06/20;16299.0;494.0;80.18
Afghanistan;1/07/20;5158.0;532.0;78.7
Afghanistan;1/08/20;1494.0;119.0;55.4
Afghanistan;1/09/20;1109.0;57.0;23.52
Afghanistan;1/10/20;2157.0;78.0;17.05
Afghanistan;1/11/20;4849.0;257.0;11.29
Afghanistan;1/12/20;5252.0;396.0;12.04
Afghanistan;1/01/21;3497.0;209.0;12.04
Afghanistan;1/02/21;336.0;13.0;12.04
Albania;1/04/20;530.0;16.0;86.66
Albania;1/05/20;364.0;2.0;87.42
Albania;1/06/20;1398.0;29.0;70.46
Albania;1/07/20;2741.0;95.0;63.85
Albania;1/08/20;4237.0;127.0;58.12
Albania;1/09/20;4136.0;103.0;54.63
Albania;1/10/20;7226.0;122.0;54.63
Albania;1/11/20;17307.0;301.0;60.3
Albania;1/12/20;20134.0;371.0;62.45
Albania;1/01/21;19811.0;199.0;59.07
Albania;1/02/21;8162.0;92.0;60.19
Algeria;1/04/20;3290.0;406.0;86.15
Algeria;1/05/20;5388.0;203.0;77.56
Algeria;1/06/20;4513.0;259.0;70.55
Algeria;1/07/20;16487.0;298.0;72.54
Algeria;1/08/20;14100.0;300.0;79.98
Algeria;1/09/20;7036.0;226.0;75.93
Algeria;1/10/20;6412.0;228.0;75.63
Algeria;1/11/20;25257.0;467.0;71.69
Algeria;1/12/20;16411.0;325.0;72.22
Algeria;1/01/21;7729.0;135.0;72.22
Algeria;1/02/21;1974.0;27.0;72.22
Andorra;1/04/20;369.0;28.0;52.97
Andorra;1/05/20;19.0;6.0;51.49
Andorra;1/06/20;91.0;1.0;43.64
Andorra;1/07/20;70.0;0.0;41.67
Andorra;1/08/20;251.0;1.0;41.67
Andorra;1/09/20;874.0;0.0;44.64
Andorra;1/10/20;2706.0;21.0;54.74
Andorra;1/11/20;1989.0;1.0;58.57
Andorra;1/12/20;1304.0;8.0;53.52
Andorra;1/01/21;1888.0;17.0;52.78
Andorra;1/02/21;338.0;5.0;0
Angola;1/04/20;20.0;0.0;88.33
Angola;1/05/20;59.0;2.0;79.06
Angola;1/06/20;198.0;9.0;76.08
Angola;1/07/20;864.0;39.0;76.5
Angola;1/08/20;1506.0;56.0;78.18
Angola;1/09/20;2318.0;75.0;78.01
Angola;1/10/20;5600.0;104.0;69.7
Angola;1/11/20;4334.0;64.0;59.21
Angola;1/12/20;2414.0;57.0;65.2
Angola;1/01/21;2243.0;61.0;64.53
Angola;1/02/21;316.0;9.0;62.96
Argentina;1/04/20;3374.0;188.0;98.28
Argentina;1/05/20;12423.0;321.0;90.26
Argentina;1/06/20;47679.0;768.0;89.13
Argentina;1/07/20;126772.0;2236.0;91.51
Argentina;1/08/20;226433.0;5117.0;88.25
Argentina;1/09/20;333266.0;8277.0;87.96
Argentina;1/10/20;415923.0;14065.0;83.95
Argentina;1/11/20;257609.0;7728.0;79.63
Argentina;1/12/20;200981.0;4515.0;79.17
Argentina;1/01/21;301725.0;4729.0;79.17
Argentina;1/02/21;58262.0;1424.0;79.17
Australia;1/04/20;2207.0;75.0;71.48
Australia;1/05/20;436.0;10.0;67.35
Australia;1/06/20;699.0;2.0;54.77
Australia;1/07/20;9360.0;97.0;69.81
Australia;1/08/20;8539.0;456.0;75.1
Australia;1/09/20;1277.0;231.0;74.72
Australia;1/10/20;499.0;19.0;64.23
Australia;1/11/20;317.0;1.0;49.98
Australia;1/12/20;513.0;1.0;63.21
Australia;1/01/21;393.0;0.0;58.13
Australia;1/02/21;42.0;0.0;54.62
Austria;1/04/20;5272.0;456.0;78.64
Austria;1/05/20;1279.0;84.0;60.6
Austria;1/06/20;1035.0;37.0;47.74
Austria;1/07/20;3280.0;14.0;38.79
Austria;1/08/20;6308.0;15.0;35.19
Austria;1/09/20;17375.0;66.0;36.63
Austria;1/10/20;59216.0;311.0;51.51
Austria;1/11/20;177531.0;2075.0;78.11
Austria;1/12/20;78359.0;3038.0;75.6
Austria;1/01/21;53583.0;1499.0;81.57
Austria;1/02/21;10498.0;311.0;78.7
Azerbaijan;1/04/20;1506.0;19.0;89.78
Azerbaijan;1/05/20;3690.0;39.0;82.55
Azerbaijan;1/06/20;12030.0;150.0;85.74
Azerbaijan;1/07/20;14354.0;235.0;95.94
Azerbaijan;1/08/20;4557.0;86.0;87.6
Azerbaijan;1/09/20;3794.0;57.0;77.19
